Model,MTL,Tasks,Learning Rate,MTL HPO,NEXT_ACTIVITY_mean,NEXT_ACTIVITY_std,NEXT_TIME_mean,NEXT_TIME_std,REMAINING_TIME_mean,REMAINING_TIME_std,Best Epoch_mean
Transformer,DWA,"('next_time', 'remaining_time')",0.0001,None,,,2.121766666666667,0.22272674588682273,19.3976,1.1367182896390806,59.0
Transformer,UW_SO,"('next_time', 'remaining_time')",0.0001,5.0,,,2.011,,17.2125,,81.0
Transformer,EW,"('next_time', 'remaining_time')",0.0001,None,,,2.1214333333333335,0.22191460820174344,18.50323333333333,1.0493083261526772,73.0
Transformer,GLS,"('next_time', 'remaining_time')",0.0001,None,,,,,,,
Transformer,UW_O,"('next_time', 'remaining_time')",0.0001,None,,,2.1550666666666665,0.19924663945304902,19.280733333333334,1.5949370060705652,65.66666666666667
Transformer,DWA,"('next_activity', 'next_time')",0.0001,None,0.5130333333333333,0.007867867140040789,1.9788666666666668,0.1893099662810527,,,29.333333333333332
Transformer,GradDrop,"('next_activity', 'next_time')",0.0001,None,0.5048,0.0027495454169735255,1.9641666666666666,0.2220083181624809,,,34.0
Transformer,CAGrad,"('next_activity', 'next_time')",0.0001,0.3,0.5121333333333333,0.008285127237003344,1.9527,0.2185617532872574,,,29.333333333333332
Transformer,IMTL,"('next_activity', 'next_time')",0.0001,None,0.5088666666666667,0.011968430696350011,1.9819666666666667,0.17375777200842948,,,28.333333333333332
Transformer,UW_SO,"('next_activity', 'next_time')",0.0001,20.0,0.5097666666666667,0.004118656738954235,1.9481333333333335,0.18282653891963635,,,32.333333333333336
Transformer,EW,"('next_activity', 'next_time')",0.0001,None,0.5118,0.008580792504192183,1.9939333333333333,0.18883591642834624,,,29.0
Transformer,PCGrad,"('next_activity', 'next_time')",0.0001,None,0.5129333333333334,0.009376744282176655,1.963733333333333,0.1894216020767783,,,33.333333333333336
Transformer,UW,"('next_activity', 'next_time')",0.0001,None,0.5097,0.006153860576906195,1.9668666666666665,0.20077811965782866,,,31.0
Transformer,RLW,"('next_activity', 'next_time')",0.0001,None,0.5095333333333333,0.00908423542921109,1.9525,0.18659230959500997,,,33.333333333333336
Transformer,GLS,"('next_activity', 'next_time')",0.0001,None,0.5080666666666667,0.010976945537504194,1.9850999999999999,0.19782282477004512,,,34.666666666666664
Transformer,UW_O,"('next_activity', 'next_time')",0.0001,None,0.504,0.006437390775772426,2.017333333333333,0.2142992611590934,,,45.0
Transformer,GradNorm,"('next_activity', 'next_time')",0.0001,2.0,0.5051333333333333,0.0031533051443419424,1.9362000000000001,0.15835425475812145,,,32.666666666666664
Transformer,Nash_MTL,"('next_activity', 'next_time')",0.0001,None,0.5125000000000001,0.003928103868280432,1.9885,0.16720672833352115,,,30.333333333333332
Transformer,EW,"('next_activity',)",0.001,None,0.14203333333333332,0.009046730532813128,,,,,18.0
Transformer,DWA,"('next_activity', 'remaining_time')",0.0001,None,0.17393333333333336,0.028662926112547078,,,20.05333333333333,2.252049689357082,53.333333333333336
Transformer,UW_SO,"('next_activity', 'remaining_time')",0.0001,1.0,0.2223,,,,19.3802,,58.0
Transformer,EW,"('next_activity', 'remaining_time')",0.0001,None,0.17223333333333332,0.0196612139333596,,,19.729466666666667,2.4051084389967405,56.666666666666664
Transformer,GLS,"('next_activity', 'remaining_time')",0.0001,None,0.4691,,,,25.6394,,22.0
Transformer,UW_O,"('next_activity', 'remaining_time')",0.0001,None,0.49676666666666663,0.013716535033795255,,,24.109799999999996,0.7158675017068458,53.666666666666664
Transformer,EW,"('remaining_time',)",0.0001,None,,,,,20.842533333333332,2.2151419149420946,45.333333333333336
Transformer,EW,"('next_time',)",0.0001,None,,,2.0321333333333333,0.21552318514102678,,,35.0
Transformer,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,5.0,0.1807,,2.0104,,19.2036,,52.0
Transformer,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.4492,0.03903088520646185,2.0690666666666666,0.2682763562696745,23.87906666666667,1.854611534347108,45.666666666666664
