Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,73.0,41.196,0.2031,1.9706,33.5783
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,123,168.0,38.0484,0.2239,1.9305,31.8206
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.01,2.0,123,19.0,53.9814,0.0409,1.9687,46.1138
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.7,2025,3.0,54.0629,0.0424,2.4597,45.5409
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,15.0,48.4931,0.1201,1.9456,41.4676
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,29.0,42.3086,0.1524,1.9884,34.1336
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,None,123,24.0,53.9478,0.0409,1.9669,46.1167
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.9,123,4.0,58.3109,0.0409,1.967,50.096
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.01,1.5,42,5.0,53.6929,0.0404,2.0,44.6556
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,20.0,123,3.0,57.6594,0.0409,1.9666,49.2868
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,2025,4.0,47.862,0.1121,2.3787,40.471
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,3.0,42,80.0,40.8478,0.1876,1.9679,32.9553
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.0,123,200.0,33.9548,0.2112,1.9392,28.1141
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,10.0,42,186.0,33.4477,0.1981,1.9712,26.13
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,10.0,49.3934,0.1061,2.0075,40.8767
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.9,42,184.0,36.0988,0.2518,1.9614,28.9853
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.01,None,2025,3.0,57.3102,0.0424,2.9663,48.4054
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,123,34.0,47.362,0.2207,1.9384,40.8562
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,6.0,61.0722,0.1274,2.1216,53.3067
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,2025,16.0,47.7004,0.1238,2.3397,40.4372
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.01,None,42,13.0,53.6184,0.0404,2.0,44.6045
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,123,116.0,41.8919,0.1454,1.9431,35.5428
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,42,56.0,47.9519,0.1408,1.9692,39.9589
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.01,None,2025,18.0,53.2239,0.0424,2.3652,45.1137
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,5.0,2025,11.0,56.6545,0.0424,2.3668,48.5841
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,2025,18.0,47.7158,0.1195,2.3371,40.4938
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.7,2025,199.0,37.2136,0.2191,2.3362,31.7464
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,200.0,34.3532,0.1923,2.3377,28.3909
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,42,56.0,48.0442,0.122,2.0003,39.9313
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,2025,72.0,43.9798,0.2633,2.3529,37.3705
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,123,13.0,48.4417,0.1121,1.9671,41.4695
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,123,29.0,48.0676,0.1451,1.9397,41.3106
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.01,None,2025,4.0,48.1405,0.0985,2.3748,40.7589
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.1,2025,199.0,34.0248,0.204,2.3325,28.359
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,123,13.0,48.4135,0.1191,1.9383,41.4837
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,71.0,39.129,0.1486,2.3495,32.6553
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.01,None,123,1.0,63.8479,0.0552,2.9659,53.3101
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,10.0,2025,3.0,54.3934,0.0424,2.3802,46.0529
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,123,13.0,48.4426,0.1131,1.9469,41.4289
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.5,42,174.0,34.5352,0.2253,1.9743,26.8509
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.01,None,42,2.0,53.6528,0.0404,2.0014,44.617
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,15.0,42,1.0,54.5642,0.0404,1.9995,45.3086
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,36.0,44.5612,0.2333,2.3391,38.0425
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.5,42,26.0,53.6132,0.0404,1.9999,44.605
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.01,None,123,20.0,53.9164,0.0409,1.9681,46.127
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,7.0,123,192.0,33.1705,0.2013,1.9385,27.1067
