Model,MTL,Tasks,Learning Rate,MTL HPO,NEXT_ACTIVITY_mean,NEXT_ACTIVITY_std,NEXT_TIME_mean,NEXT_TIME_std,REMAINING_TIME_mean,REMAINING_TIME_std,Best Epoch_mean
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,0.14263333333333333,0.020574822801991112,2.7428333333333335,0.6911303374424634,47.84096666666667,8.720381258484819,15.333333333333334
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,0.15486666666666668,0.03537828901082321,3.052633333333333,0.2205132271165003,52.5608,0.7113001546464031,6.333333333333333
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.16276666666666664,0.005150080905513362,2.1103,0.23316434118449567,39.45876666666667,0.46013987366161746,11.333333333333334
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,0.13859999999999997,0.009406380813043897,3.088433333333333,0.19066704836791626,52.54716666666667,0.7304838419385679,2.3333333333333335
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.14416666666666667,0.011042795539777646,3.0543,0.21870187470618532,52.55013333333333,0.7234568704030212,1.6666666666666667
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.15203333333333333,0.03189456589034146,3.0418,0.22953516070528276,52.33983333333333,1.046842740497987,6.333333333333333
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.1601,0.03329068938907693,3.6327999999999996,0.9433417249332291,52.583666666666666,0.6936923333390168,9.333333333333334
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.16169999999999998,0.006577993615077477,3.0715000000000003,0.20559416334127792,52.5308,0.7725310673364526,4.0
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,,,,,,,
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.1790333333333333,0.019864876876873244,2.1262000000000003,0.22096508774012216,39.389,0.7520083576663226,9.333333333333334
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.15869999999999998,0.028737953998153726,2.7123333333333335,0.3094312901652535,13837.658966666664,23891.376866892602,22.666666666666668
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.21156666666666668,0.004760602202803052,2.1174333333333335,0.2103028847480065,39.760799999999996,0.6850096568662342,20.333333333333332
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.13066666666666668,0.025586194194004975,3.0834333333333332,0.1953651026497142,52.58043333333333,0.685840632605954,1.3333333333333333
CNN,EW,"('next_time',)",0.001,None,,,3.0576333333333334,0.26613878584928835,,,8.666666666666666
CNN,EW,"('next_activity',)",0.001,None,0.1196,0.001997498435543818,,,,,3.3333333333333335
CNN,EW,"('remaining_time',)",0.001,None,,,,,52.602,0.6916030147418365,2.3333333333333335
