Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,2025,1.0,75.203,0.1318,3.3094,52.4783
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,2025,1.0,75.1401,0.1377,3.3086,52.4802
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,123,1.0,85.1142,0.1253,2.9522,53.3068
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,2025,1.0,75.6739,0.1355,3.3068,52.4842
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,17.0,46.9359,0.1684,1.9439,39.9449
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,42,1.0,84.8385,0.1294,2.9914,51.8506
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,42,5.0,85.917,0.1268,2.9483,51.9184
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,1.0,75.6739,0.1355,3.3068,52.4842
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,2025,1.0,75.4808,0.1361,3.3097,52.4814
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,42,1.0,82.94,0.1388,2.9987,51.8097
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,42,15.0,64.4142,0.1957,2.9388,51.8909
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,3.0,86.7507,0.1308,4.6944,53.3082
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,123,5.0,86.1834,0.1474,2.9056,53.3082
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,2025,1.0,75.9696,0.1186,3.3103,52.484
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,2.0,84.9007,0.1404,2.9317,53.3043
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,5.0,76.3096,0.1548,2.9119,53.3073
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,2025,1.0,75.8475,0.1304,3.3064,52.484
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,42,1.0,82.5994,0.1242,2.9986,51.8505
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,2025,1.0,75.6739,0.1355,3.3068,52.4842
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,123,3.0,85.4525,0.1158,2.9185,53.2861
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,123,1.0,83.4021,0.1376,2.95,53.25
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,42,1.0,84.773,0.126,2.998,51.9072
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,2025,1.0,75.3553,0.1382,3.3081,52.4835
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,2025,1.0,73.7279,0.1286,3.3092,52.4806
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,1.0,74.5351,0.1532,3.3133,52.5172
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,42,44.0,45.9787,0.1663,1.973,37.7813
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,2025,2.0,75.5405,0.1567,3.3079,52.5264
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,7.0,47.1746,0.1583,2.0102,39.03
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,2025,1.0,75.6739,0.1355,3.3068,52.4842
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,8.0,46.2977,0.1561,2.3811,39.2413
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,31.0,58.0737,0.1916,2.8388,48.5036
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,42,1.0,85.5057,0.1079,2.9819,51.8034
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,42,1.0,84.532,0.1371,2.9923,51.7607
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,2025,1.0,76.1407,0.1272,3.3063,52.4821
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,15.0,64.6528,0.1888,2.9051,51.2283
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,123,1.0,85.3956,0.117,2.9541,53.2996
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,123,5.0,83.5487,0.1482,2.9658,53.3074
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,42,14.0,67.802,0.1817,2.9977,51.1384
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,20.0,47.1093,0.2165,2.023,39.0737
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,7.0,46.8625,0.1909,2.0085,38.7218
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,4.0,76.6923,0.1624,2.9991,51.7623
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,20.0,47.0762,0.2112,1.9709,40.4437
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,24.0,63.2282,0.1963,2.8907,51.9256
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,2025,1.0,76.1128,0.1326,3.3099,52.4869
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,42,2.0,84.1394,0.1477,2.9979,51.8543
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,21.0,46.6273,0.207,2.3584,39.765
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,3.0,84.5276,0.1318,2.9135,53.307
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,13.0,47.1111,0.1901,1.989,40.2039
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,123,1.0,85.1142,0.1253,2.9522,53.3068
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,123,2.0,86.8282,0.1422,2.9319,53.2964
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,42,37.0,47.7606,0.1374,1.9757,39.7462
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,123,5.0,84.9478,0.1483,2.9249,53.2961
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,123,1.0,84.0847,0.129,2.9456,53.2547
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,123,3.0,83.8821,0.1334,2.9123,53.3073
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,1.0,75.6739,0.1355,3.3068,52.4842
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,2.0,90.8031,0.1385,2.9385,41425.0442
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,1.0,86.4629,0.1152,2.9991,51.9263
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,42,2.0,84.3832,0.1507,2.9793,51.9259
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,123,3.0,84.3856,0.1303,2.9082,53.289
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,42,1.0,84.532,0.1371,2.9923,51.7607
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,42,13.0,71.9631,0.1876,2.9232,51.2154
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,123,1.0,85.7984,0.1153,3.8427,20739.1909
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,10.0,46.5286,0.1616,2.3768,39.4014
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,2025,1.0,75.8877,0.1369,3.3091,52.4837
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,42,2.0,87.1629,0.1372,2.9797,51.9263
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,3.0,70.8467,0.1679,3.3035,52.5228
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,2.0,75.7491,0.1602,3.3068,52.5209
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,123,5.0,87.2758,0.1507,2.9478,53.3082
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,123,1.0,84.1096,0.1332,2.9512,53.3073
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,1.0,83.6208,0.1166,2.9444,53.2941
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,123,3.0,85.0728,0.1311,2.9073,53.3071
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,2025,1.0,75.6739,0.1355,3.3068,52.4842
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,2.0,83.6203,0.1566,2.9244,51.8619
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,35.0,46.5871,0.146,2.3597,39.4291
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,2025,2.0,76.2456,0.1518,3.3067,52.5259
CNN,EW,"('next_activity',)",0.001,None,42,4.0,3.9144,0.1201,,
CNN,EW,"('next_activity',)",0.001,None,2025,3.0,3.9353,0.1174,,
CNN,EW,"('next_activity',)",0.001,None,123,3.0,3.8744,0.1213,,
CNN,EW,"('next_time',)",0.001,None,123,3.0,3.3839,,2.8899,
CNN,EW,"('next_time',)",0.001,None,2025,3.0,3.3355,,3.3645,
CNN,EW,"('next_time',)",0.001,None,42,20.0,3.2032,,2.9185,
CNN,EW,"('remaining_time',)",0.001,None,123,1.0,54.5299,,,53.3076
CNN,EW,"('remaining_time',)",0.001,None,2025,1.0,53.6083,,,52.5731
CNN,EW,"('remaining_time',)",0.001,None,42,5.0,54.2999,,,51.9253
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,,,,,
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,,,,,
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,,,,,
