Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,28.0,4.8809,0.8534,1.7325,2.8651
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.01,None,42,3.0,5.1049,0.8471,1.8768,2.9177
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,123,43.0,4.9555,0.8569,1.7441,2.8678
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.01,2.0,123,25.0,5.1718,0.8441,1.8913,2.8863
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.7,2025,4.0,5.5045,0.8554,1.9235,2.8903
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,46.0,4.8861,0.8549,1.678,2.8497
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,41.0,4.7412,0.8559,1.6369,2.8304
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,None,123,6.0,5.2375,0.8473,1.9062,2.9407
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.9,123,10.0,5.2293,0.8429,1.8896,2.9436
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.01,1.5,42,17.0,5.0964,0.8445,1.8836,2.8985
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,20.0,123,3.0,5.2804,0.8293,1.92,2.9504
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,2025,36.0,5.1297,0.8648,1.687,2.8045
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,3.0,42,29.0,4.8457,0.8539,1.7144,2.86
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.0,123,43.0,4.9982,0.8563,1.7709,2.8826
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,10.0,42,29.0,4.8503,0.8538,1.7173,2.8543
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,48.0,4.7546,0.8545,1.6332,2.8466
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.9,42,34.0,4.8646,0.8562,1.7484,2.8581
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.01,None,2025,19.0,5.5144,0.8336,1.9184,2.8665
