Model,MTL,Tasks,Learning Rate,MTL HPO,NEXT_ACTIVITY_mean,NEXT_ACTIVITY_std,NEXT_TIME_mean,NEXT_TIME_std,REMAINING_TIME_mean,REMAINING_TIME_std,Best Epoch_mean
LSTM,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,0.8523333333333333,0.001365039681962868,5.537366666666666,0.0541804700361059,15.397233333333332,0.09514170133718135,81.66666666666667
LSTM,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8494999999999999,0.001307669683062214,5.5782,0.018847015678881408,15.474666666666666,0.014844976703697731,74.33333333333333
LSTM,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8504666666666667,0.004931869152089658,5.592966666666666,0.0591762058037971,15.722999999999999,0.09536734241867187,65.33333333333333
LSTM,Scalarization,"('next_activity', 'next_time', 'remaining_time')",0.0001,"[0.6, 0.2, 0.2]",0.8547,,5.6422,,15.7544,,187.0
LSTM,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8477,0.0010583005244258247,5.589099999999999,0.03512363876365951,15.717500000000001,0.0810601628421748,58.0
LSTM,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,0.8551666666666667,0.003669241520169171,5.575166666666667,0.03807969712764701,15.527233333333333,0.07961986770482217,69.0
LSTM,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,0.8528666666666668,0.002059935274064044,5.579633333333334,0.09833546325376877,15.451333333333332,0.2556809796080527,83.0
LSTM,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8495666666666666,0.003164385143014879,5.525933333333334,0.02139563818476413,15.389033333333332,0.16669824034264186,96.0
LSTM,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.855,0.0031240998703626413,5.657033333333334,0.040773684323756255,15.750733333333335,0.11391932818154052,70.0
LSTM,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8507333333333333,0.004883987441971244,5.5992999999999995,0.04910936774180625,15.541199999999998,0.198011085548259,70.33333333333333
LSTM,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8564666666666666,0.0030746273486933528,5.5422666666666665,0.06990009537427931,15.5582,0.18242288781838709,70.33333333333333
LSTM,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8549000000000001,0.0065505724940648985,5.662933333333334,0.044434708655884635,15.772166666666665,0.11486480458927965,57.333333333333336
LSTM,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8596333333333334,0.004429823171790666,5.728466666666667,0.05456467110991637,16.059033333333332,0.18616133683805816,40.666666666666664
LSTM,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8577666666666667,0.003743438704364385,5.6507000000000005,0.049153128079502735,16.046333333333333,0.1404269323646042,48.666666666666664
LSTM,UW_SO,"('next_time', 'remaining_time')",0.001,7.0,,,5.576233333333334,0.07468663423487018,15.379366666666668,0.21471609938086447,90.66666666666667
LSTM,DWA,"('next_time', 'remaining_time')",0.001,None,,,5.550966666666667,0.07938018224552872,15.3499,0.36143751880511743,90.66666666666667
LSTM,RLW,"('next_time', 'remaining_time')",0.001,None,,,5.6299,0.04014523633010503,15.814933333333334,0.1352819401595549,58.333333333333336
LSTM,GradDrop,"('next_time', 'remaining_time')",0.001,None,,,5.584666666666667,0.004623130252690066,15.479666666666667,0.013928866907733593,77.0
LSTM,CAGrad,"('next_time', 'remaining_time')",0.001,0.1,,,5.596666666666667,0.055191877421712485,15.4236,0.056186030292234936,90.0
LSTM,GradNorm,"('next_time', 'remaining_time')",0.001,1.5,,,5.593133333333333,0.04974156544916257,15.3424,0.1250493102739868,104.0
LSTM,Nash_MTL,"('next_time', 'remaining_time')",0.001,None,,,5.612266666666667,0.06257398287893562,15.587733333333333,0.1322640288715463,64.33333333333333
LSTM,IMTL,"('next_time', 'remaining_time')",0.001,None,,,5.623366666666667,0.07427983126888063,15.814466666666666,0.2902336529993264,48.333333333333336
LSTM,EW,"('next_time', 'remaining_time')",0.001,None,,,5.613466666666667,0.053696585862914446,15.394133333333334,0.116328084886382,82.0
LSTM,PCGrad,"('next_time', 'remaining_time')",0.001,None,,,5.5934333333333335,0.05005969769518512,15.335566666666667,0.3286349393070276,100.66666666666667
LSTM,UW,"('next_time', 'remaining_time')",0.001,None,,,5.648033333333333,0.058627666961369944,15.4546,0.11121254425648158,94.66666666666667
LSTM,UW_O,"('next_time', 'remaining_time')",0.001,None,,,5.6564000000000005,0.07594254407115975,15.754866666666667,0.05444780375123777,69.66666666666667
LSTM,GLS,"('next_time', 'remaining_time')",0.001,None,,,5.613933333333333,0.02326571153722434,15.649099999999999,0.42619982402624207,83.33333333333333
LSTM,UW_SO,"('next_activity', 'remaining_time')",0.001,7.0,0.8495666666666667,0.002900574655707625,,,15.5856,0.09554742278052196,85.0
LSTM,DWA,"('next_activity', 'remaining_time')",0.001,None,0.8511333333333333,0.0007637626158259982,,,15.636166666666668,0.18497979168907497,63.333333333333336
LSTM,RLW,"('next_activity', 'remaining_time')",0.001,None,0.8506999999999999,0.0008660254037844795,,,15.786566666666667,0.15492954312632928,66.0
LSTM,Scalarization,"('next_activity', 'remaining_time')",0.001,"[0.6, 0.4]",0.8525333333333333,0.0004163331998932607,,,15.570366666666667,0.09459082055534461,73.33333333333333
LSTM,GradDrop,"('next_activity', 'remaining_time')",0.001,None,0.8432333333333334,0.007272780302836995,,,15.460833333333333,0.18578079376871479,103.66666666666667
LSTM,CAGrad,"('next_activity', 'remaining_time')",0.001,0.1,0.8524666666666666,0.0016041612554020903,,,15.575566666666667,0.14133981510293964,68.0
LSTM,GradNorm,"('next_activity', 'remaining_time')",0.001,1.5,0.8516333333333334,0.0024006943440041525,,,15.5446,0.16240126231036572,73.33333333333333
LSTM,Nash_MTL,"('next_activity', 'remaining_time')",0.001,None,0.8495666666666667,0.003231614663497652,,,15.6308,0.10239160121806962,74.66666666666667
LSTM,IMTL,"('next_activity', 'remaining_time')",0.001,None,0.8590333333333334,0.0037581023580170246,,,16.067400000000003,0.10487597436972816,38.666666666666664
LSTM,EW,"('next_activity', 'remaining_time')",0.001,None,0.8468666666666667,0.002638812864401991,,,15.584933333333334,0.14913890616915876,77.0
LSTM,PCGrad,"('next_activity', 'remaining_time')",0.001,None,0.8553000000000001,0.0010440306508910516,,,15.629800000000001,0.08290018094069582,62.333333333333336
LSTM,UW,"('next_activity', 'remaining_time')",0.001,None,0.8569666666666667,0.001700980109623111,,,15.898766666666667,0.07387762403687095,55.666666666666664
LSTM,UW_O,"('next_activity', 'remaining_time')",0.001,None,0.8576666666666667,0.006437649674635393,,,16.12693333333333,0.2980701315686176,49.666666666666664
LSTM,GLS,"('next_activity', 'remaining_time')",0.001,None,0.8565999999999999,0.0006000000000000033,,,15.937466666666666,0.12719238708874614,45.666666666666664
LSTM,UW_SO,"('next_activity', 'next_time')",0.001,20.0,0.8583333333333334,0.0016653327995728782,5.6888000000000005,0.02565131575572679,,,33.0
LSTM,DWA,"('next_activity', 'next_time')",0.001,None,0.8564333333333334,0.003611555528208517,5.724766666666667,0.03713116391029668,,,28.0
LSTM,RLW,"('next_activity', 'next_time')",0.001,None,0.8592000000000001,0.0022338307903688923,5.7333,0.039628398907854225,,,32.333333333333336
LSTM,Scalarization,"('next_activity', 'next_time')",0.001,"[0.6, 0.4]",0.8607999999999999,0.0024556058315617496,5.7078,0.0160065611547265,,,37.333333333333336
LSTM,GradDrop,"('next_activity', 'next_time')",0.001,None,0.8576333333333332,0.0038837267325770647,5.711766666666667,0.04741321897249028,,,35.666666666666664
LSTM,CAGrad,"('next_activity', 'next_time')",0.001,0.3,0.8621666666666666,0.0019218047073866298,5.687666666666666,0.052833827547635805,,,35.666666666666664
LSTM,GradNorm,"('next_activity', 'next_time')",0.001,1.0,0.8609,0.0012288205727444261,5.727133333333334,0.03651743875648058,,,26.333333333333332
LSTM,Nash_MTL,"('next_activity', 'next_time')",0.001,None,0.8575666666666667,0.0021455380055672222,5.7166,0.07411929573329769,,,34.333333333333336
LSTM,IMTL,"('next_activity', 'next_time')",0.001,None,0.8610333333333333,0.002569695182961037,5.7060666666666675,0.025488101799336048,,,30.666666666666668
LSTM,EW,"('next_activity', 'next_time')",0.001,None,0.8549000000000001,0.003798683982644491,5.738833333333333,0.03193310716690954,,,29.0
LSTM,PCGrad,"('next_activity', 'next_time')",0.001,None,0.8612333333333333,0.002200757445365855,5.7155,0.027627341529723307,,,42.0
LSTM,UW,"('next_activity', 'next_time')",0.001,None,0.8617333333333335,0.0011547005383792366,5.740833333333334,0.03763646281644088,,,30.0
LSTM,UW_O,"('next_activity', 'next_time')",0.001,None,0.8638666666666667,0.0022188585654189918,5.7926,0.07015276188433349,,,29.0
LSTM,GLS,"('next_activity', 'next_time')",0.001,None,0.8597,0.002364318083507338,5.725933333333334,0.04267485598491621,,,39.666666666666664
LSTM,EW,"('next_activity',)",0.0001,None,0.6210333333333334,0.004355838993045207,,,,,53.0
LSTM,EW,"('remaining_time',)",0.001,None,,,,,15.483066666666666,0.30402186324890124,105.66666666666667
LSTM,EW,"('next_time',)",0.001,None,,,5.718066666666666,0.03702030974118578,,,40.0
Transformer,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,15.0,0.8600333333333333,0.0043615746392023915,5.714466666666667,0.1135415929663366,16.0275,0.19820007568111564,44.333333333333336
Transformer,DWA,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.8543666666666666,0.013481221507464843,5.9422,0.17935604255223744,16.218033333333334,0.3794765385808897,32.0
Transformer,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.8527333333333332,0.0021079215671683336,5.919433333333333,0.24716351537662914,16.545533333333335,0.20717877143504074,31.333333333333332
Transformer,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.836,0.007960527620704556,5.791533333333334,0.0782588227188047,16.337999999999997,0.15539202038714775,29.666666666666668
Transformer,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.1,0.8653,0.001838477631085096,5.75565,0.14997734828966638,16.17495,0.35659394975237446,42.0
Transformer,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.5,0.8648333333333333,0.0019218047073866176,5.7801,0.0224024552225863,16.202866666666665,0.418564718213723,45.666666666666664
Transformer,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.8585333333333334,0.002023198787399185,5.869166666666666,0.05063638349382111,16.187533333333334,0.16184746934485375,30.0
Transformer,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.8687999999999999,0.0018248287590894566,5.733066666666667,0.06899342963886756,16.565166666666666,0.0873163405860172,33.666666666666664
Transformer,EW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.8540333333333333,0.008775154319630735,5.822833333333333,0.15952010322631238,16.287200000000002,0.40785384637146654,31.0
Transformer,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.8634333333333334,0.0032715949219506634,5.7531,0.11957411927336134,16.353466666666666,0.25903120146679687,32.666666666666664
Transformer,UW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.8650333333333333,0.0011930353445448439,5.8486,0.10129466915884566,16.669833333333333,0.06319765291000419,23.666666666666668
Transformer,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.8664666666666667,0.002119748412744623,5.8697333333333335,0.10758096176058911,16.884866666666667,0.035104605585782524,22.666666666666668
Transformer,GLS,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.8655666666666667,0.002458319208999006,5.813199999999999,0.14109043199310192,16.639233333333333,0.2644555602238922,28.333333333333332
Transformer,UW_SO,"('next_time', 'remaining_time')",0.0001,20.0,,,5.7495666666666665,0.04784405222525901,15.9587,0.14392522364061194,35.333333333333336
Transformer,DWA,"('next_time', 'remaining_time')",0.0001,None,,,5.8486,0.19746612367694813,16.178633333333334,0.2750121148846603,33.0
Transformer,RLW,"('next_time', 'remaining_time')",0.0001,None,,,5.8257,0.055375355529332634,16.451933333333333,0.24332407059995925,24.666666666666668
Transformer,GradDrop,"('next_time', 'remaining_time')",0.0001,None,,,5.9425,0.15402619907015822,16.212166666666665,0.16472037922896393,27.666666666666668
Transformer,CAGrad,"('next_time', 'remaining_time')",0.0001,0.1,,,5.781666666666666,0.031490368898019476,16.221999999999998,0.022868537338448843,26.333333333333332
Transformer,GradNorm,"('next_time', 'remaining_time')",0.0001,1.5,,,5.809166666666667,0.1602450103227353,16.2205,0.07335863957299105,41.666666666666664
Transformer,Nash_MTL,"('next_time', 'remaining_time')",0.0001,None,,,5.852766666666667,0.21764742896099926,16.453366666666668,0.31738986016149323,32.333333333333336
Transformer,IMTL,"('next_time', 'remaining_time')",0.0001,None,,,5.799433333333333,0.021642858714442874,16.3096,0.3937557745608322,32.333333333333336
Transformer,EW,"('next_time', 'remaining_time')",0.0001,None,,,5.913133333333334,0.1230551637816686,16.253600000000002,0.236738927935395,24.666666666666668
Transformer,PCGrad,"('next_time', 'remaining_time')",0.0001,None,,,5.828600000000001,0.08518474041751815,16.499799999999997,0.29514823394355544,23.666666666666668
Transformer,UW,"('next_time', 'remaining_time')",0.0001,None,,,5.849033333333334,0.13357658227898106,16.363400000000002,0.1476071475234192,22.333333333333332
Transformer,UW_O,"('next_time', 'remaining_time')",0.0001,None,,,5.835466666666666,0.09428967776662178,16.357466666666667,0.10522244690812606,29.0
Transformer,GLS,"('next_time', 'remaining_time')",0.0001,None,,,5.778466666666667,0.07470972716677078,16.355900000000002,0.05694532465444568,30.0
Transformer,UW_SO,"('next_activity', 'remaining_time')",0.0001,20.0,0.8607999999999999,0.002600000000000019,,,16.055533333333333,0.20305005130098777,36.666666666666664
