Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,95.0,23.9572,0.7903,6.1626,17.2638
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,3.0,42,82.0,23.8261,0.7976,6.0445,17.1286
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.0,123,136.0,23.7655,0.8417,6.0183,16.9081
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,10.0,42,84.0,23.8347,0.7926,6.1272,17.1112
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,40.0,25.7609,0.755,6.2769,18.4055
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,87.0,24.4765,0.8475,6.0422,17.2635
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,143.0,24.2145,0.8076,6.0827,16.7717
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,3.0,123,94.0,24.3134,0.8114,6.0125,17.1918
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,90.0,23.8379,0.7927,6.1101,17.1189
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,67.0,24.8281,0.8461,6.0601,17.9434
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,20.0,42,84.0,23.8199,0.7924,6.1779,17.0506
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,99.0,24.3094,0.8034,6.0479,17.0913
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,82.0,24.2726,0.8423,6.0556,17.8782
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,82.0,24.1928,0.8441,6.0639,17.5598
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,7.0,42,97.0,23.7546,0.7953,6.07,17.08
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,86.0,24.5603,0.8501,6.1011,17.4371
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,88.0,24.7182,0.8515,6.1712,17.4479
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,90.0,23.8462,0.7949,6.1117,17.2442
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,72.0,24.6526,0.7855,6.0999,17.2336
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,15.0,42,86.0,23.7224,0.7926,6.1055,17.097
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,5.0,42,84.0,23.7981,0.7939,6.0777,17.1673
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,90.0,24.5385,0.8445,6.0783,17.4106
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,98.0,24.4696,0.8511,6.0397,17.6191
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.0,42,90.0,23.7375,0.8255,6.0842,17.1209
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,110.0,24.1459,0.8052,6.1683,16.9096
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,82.0,24.5109,0.7953,6.0719,17.0806
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,128.0,23.6132,0.8456,6.0171,17.2309
CNN,DWA,"('next_activity', 'next_time')",0.001,None,123,22.0,7.1957,0.8214,6.5265,
CNN,IMTL,"('next_activity', 'next_time')",0.001,None,2025,5.0,7.1687,0.8183,6.546,
CNN,UW,"('next_activity', 'next_time')",0.001,None,2025,11.0,7.3158,0.8296,6.8251,
CNN,EW,"('next_activity', 'next_time')",0.001,None,123,18.0,7.2092,0.8143,6.593,
CNN,CAGrad,"('next_activity', 'next_time')",0.0001,0.3,42,76.0,6.1349,0.838,6.0124,
CNN,DWA,"('next_activity', 'next_time')",0.01,None,2025,3.0,8.9148,0.632,7.6689,
CNN,Scalarization,"('next_activity', 'next_time')",0.001,"[0.1, 0.9]",2025,20.0,7.6901,0.7649,6.8847,
CNN,Scalarization,"('next_activity', 'next_time')",0.001,"[0.1, 0.9]",42,4.0,7.2861,0.7176,6.8386,
CNN,CAGrad,"('next_activity', 'next_time')",0.01,0.1,42,2.0,8.5937,0.5915,7.6975,
CNN,Scalarization,"('next_activity', 'next_time')",0.01,"[0.1, 0.9]",2025,5.0,10.1149,0.2325,7.987,
CNN,CAGrad,"('next_activity', 'next_time')",0.0001,0.5,123,36.0,6.6983,0.8245,6.1131,
CNN,Scalarization,"('next_activity', 'next_time')",0.01,"[0.2, 0.8]",42,11.0,8.6193,0.5151,7.6528,
CNN,PCGrad,"('next_activity', 'next_time')",0.0001,None,2025,70.0,6.6359,0.8269,6.1337,
