Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,2025,24,27.0183,0.8085,6.9021,18.9441
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,2025,61,26.5532,0.801,6.7523,18.4315
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,123,28,26.8338,0.8066,6.7373,19.0177
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,2025,27,27.0984,0.8082,6.871,19.147
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,23,26.7923,0.7814,6.8652,19.0354
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,42,24,26.3864,0.7739,6.892,18.9972
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,42,23,26.4253,0.7678,6.8845,18.9231
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,28,26.8694,0.7843,6.8286,18.5699
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,2025,22,27.0063,0.8058,6.8284,19.0832
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,42,34,26.5862,0.8082,6.917,19.3575
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,42,35,26.169,0.795,6.7531,18.9438
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,23,26.8259,0.7757,6.8259,18.844
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,123,25,26.8471,0.7766,6.8419,18.9045
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,2025,39,26.7878,0.7863,6.8734,18.6594
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,25,26.8694,0.775,6.7861,18.8386
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,40,26.857,0.809,6.7743,19.0507
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,2025,28,26.8147,0.7817,6.8494,18.5451
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,42,20,26.4781,0.7766,6.8342,19.2794
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,2025,24,27.0666,0.8032,6.8217,19.086
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,38,26.3786,0.8086,6.8442,19.1206
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,123,40,26.6712,0.7942,6.7823,18.6941
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,123,28,26.9946,0.8091,6.9254,19.1381
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,42,32,26.1736,0.7972,6.766,18.997
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,2025,39,26.8251,0.7904,6.9106,18.678
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,2025,24,26.9927,0.8064,7.1067,18.7614
