Model,MTL,Tasks,Learning Rate,MTL HPO,NEXT_ACTIVITY_mean,NEXT_ACTIVITY_std,NEXT_TIME_mean,NEXT_TIME_std,REMAINING_TIME_mean,REMAINING_TIME_std,Best Epoch_mean
LSTM,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,20.0,0.7858999999999999,0.0010816653826392355,0.5922333333333333,0.01683963578386817,5.205733333333334,0.003666515148384901,199.0
LSTM,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.7847,0.001322875655532307,0.5897,0.015200986810072578,5.382366666666667,0.027882312194890128,197.66666666666666
LSTM,EW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.7855333333333334,0.0006658328118479348,0.5910666666666667,0.018106720667567952,5.2117,0.023751210495467304,199.66666666666666
LSTM,UW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.7838666666666668,0.001789785834487835,0.5973666666666667,0.014249327469510036,5.837066666666666,0.0342704440200786,199.66666666666666
LSTM,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.7861333333333334,0.0012423096769057023,0.5881666666666666,0.015727788570976297,5.903200000000001,0.05464311484533081,199.0
LSTM,GLS,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.7870666666666667,0.0011060440015357926,0.5902666666666666,0.014419546918448331,5.8834333333333335,0.07076470400795366,197.0
LSTM,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.7856,,0.6001,,5.2204,,197.0
LSTM,DWA,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.7848,0.0003464101615138495,0.5931333333333333,0.014100118202814198,5.208233333333333,0.010383801487573122,198.66666666666666
LSTM,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.7855666666666666,0.0005859465277082459,0.5924,0.014132232661543604,5.8809,0.04534898014288738,198.66666666666666
LSTM,UW_SO,"('next_activity', 'next_time')",0.001,5.0,0.7923666666666667,0.0013796134724383938,0.5798333333333333,0.010966464030549329,,,21.0
LSTM,RLW,"('next_activity', 'next_time')",0.001,None,0.7907000000000001,0.0027784887978900157,0.5778333333333333,0.01198095711257382,,,30.0
LSTM,GradDrop,"('next_activity', 'next_time')",0.001,None,0.7934333333333333,0.0018502252115170739,0.5774666666666667,0.016083013813751858,,,27.333333333333332
LSTM,CAGrad,"('next_activity', 'next_time')",0.001,0.3,0.7916666666666666,0.00047258156262528807,0.5747,0.013260467563400625,,,27.333333333333332
LSTM,EW,"('next_activity', 'next_time')",0.001,None,0.7913,0.004703190406521905,0.5801,0.013362634470792027,,,20.333333333333332
LSTM,GradNorm,"('next_activity', 'next_time')",0.001,2.0,0.7915333333333333,0.0020744477176669247,0.5747666666666666,0.012500533321956017,,,27.333333333333332
LSTM,UW,"('next_activity', 'next_time')",0.001,None,0.7923666666666667,0.0019218047073866176,0.5774666666666667,0.015810545004310644,,,22.0
LSTM,UW_O,"('next_activity', 'next_time')",0.001,None,0.7920666666666666,0.0026501572280401005,0.5842999999999999,0.01395277750127191,,,19.666666666666668
LSTM,GLS,"('next_activity', 'next_time')",0.001,None,0.7853,0.011241441188744443,0.5806666666666667,0.012720193918857217,,,23.0
LSTM,Nash_MTL,"('next_activity', 'next_time')",0.001,None,0.7927666666666667,0.0004932882862316501,0.5772333333333334,0.011651752371782275,,,23.0
LSTM,DWA,"('next_activity', 'next_time')",0.0001,None,0.7921999999999999,0.0007211102550927762,0.5822666666666666,0.01506994802025983,,,66.33333333333333
LSTM,PCGrad,"('next_activity', 'next_time')",0.001,None,0.7886333333333333,0.004665118790913414,0.5782666666666666,0.010761195720426912,,,22.333333333333332
LSTM,IMTL,"('next_activity', 'next_time')",0.001,None,0.7910666666666666,0.004225320500664218,0.5764666666666667,0.01260647981529072,,,24.0
LSTM,EW,"('next_activity',)",0.0001,None,0.6522,0.013056416047292579,,,,,32.0
LSTM,UW_SO,"('next_time', 'remaining_time')",0.001,20.0,,,0.6006333333333332,0.020052514389306227,4.667566666666667,0.08261581769451512,135.33333333333334
LSTM,RLW,"('next_time', 'remaining_time')",0.001,None,,,0.5964999999999999,0.016086018774078344,4.7557,0.10949059320325179,135.66666666666666
LSTM,GradDrop,"('next_time', 'remaining_time')",0.001,None,,,0.5975,0.01595587666034056,4.5991333333333335,0.043919282022060815,141.0
LSTM,CAGrad,"('next_time', 'remaining_time')",0.001,0.3,,,0.6147333333333334,0.011594107698884495,4.692866666666666,0.0294192680625021,138.33333333333334
LSTM,EW,"('next_time', 'remaining_time')",0.001,None,,,0.6034333333333334,0.010908864896648685,4.6319333333333335,0.004600362304572735,144.0
LSTM,GradNorm,"('next_time', 'remaining_time')",0.001,2.0,,,0.6166,0.016118622769951536,4.8266,0.06681519288305644,126.66666666666667
LSTM,UW,"('next_time', 'remaining_time')",0.001,None,,,0.6065666666666667,0.0030105370506495095,5.376733333333334,0.08285266038778337,91.0
LSTM,UW_O,"('next_time', 'remaining_time')",0.001,None,,,0.6018,0.01430629232191207,5.2241333333333335,0.05583872610772298,138.33333333333334
LSTM,GLS,"('next_time', 'remaining_time')",0.001,None,,,0.6061666666666666,0.017168090555834483,5.3359,0.07646358610475927,96.33333333333333
LSTM,Nash_MTL,"('next_time', 'remaining_time')",0.001,None,,,0.6024,0.014849242404917551,4.6094,0.07622611101190928,154.5
LSTM,DWA,"('next_time', 'remaining_time')",0.001,None,,,0.6035333333333334,0.011943757086165714,4.726500000000001,0.08543494601157119,111.66666666666667
LSTM,PCGrad,"('next_time', 'remaining_time')",0.001,None,,,0.5986333333333334,0.016226316073999436,4.7526,0.11250417770020821,113.66666666666667
LSTM,IMTL,"('next_time', 'remaining_time')",0.001,None,,,0.6088,0.010053854982045434,4.9461,0.15903399007759333,117.33333333333333
LSTM,UW_SO,"('next_activity', 'remaining_time')",0.0001,20.0,0.7837666666666667,0.0005859465277082459,,,5.2301,0.056455646307522006,199.0
LSTM,RLW,"('next_activity', 'remaining_time')",0.0001,None,0.7847333333333334,0.0011718930554164445,,,5.339966666666666,0.02358523549454899,198.66666666666666
LSTM,EW,"('next_activity', 'remaining_time')",0.0001,None,0.7826666666666666,0.0014468356276139997,,,5.221433333333334,0.008209953308840076,199.0
LSTM,UW,"('next_activity', 'remaining_time')",0.0001,None,0.7799666666666667,0.0008386497083605959,,,5.662,0.05250628533804289,191.0
LSTM,UW_O,"('next_activity', 'remaining_time')",0.0001,None,0.7857333333333333,0.002042873792805919,,,5.829599999999999,0.06487919543274263,195.66666666666666
