Model,MTL,Tasks,Learning Rate,MTL HPO,NEXT_ACTIVITY_mean,NEXT_ACTIVITY_std,NEXT_TIME_mean,NEXT_TIME_std,REMAINING_TIME_mean,REMAINING_TIME_std,Best Epoch_mean
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,0.7467333333333334,0.00534820842276489,0.6894999999999999,0.013031116606031878,7.3368,0.036801630398665484,25.333333333333332
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,0.7567666666666666,0.002236813209307707,0.6893333333333334,0.011350036710660132,7.339033333333333,0.01864036837976455,27.333333333333332
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7416,0.005250714237129979,0.6925333333333333,0.011131187417941292,7.242100000000001,0.03553969611575275,30.333333333333332
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,0.7456333333333333,0.002857154761879996,0.6986,0.0016522711641858703,7.253266666666666,0.03568421686591038,44.333333333333336
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7395666666666667,0.005300314456080175,0.7058666666666666,0.009469072464256111,7.292433333333332,0.025848468684495706,26.0
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7425666666666667,0.0033975481355432336,0.7003666666666667,0.002608320021265302,7.3215,0.03059999999999996,32.333333333333336
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7388,0.0021794494717703675,0.6995,0.0046357307945997,7.280733333333333,0.0275238684296619,33.0
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7597999999999999,0.003207802986469039,0.6930999999999999,0.00802246844805265,7.325066666666667,0.042465201439924286,37.333333333333336
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7575333333333333,0.0027300793639258255,0.6936,0.010183810681665316,7.2952,0.06328277806796985,29.0
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.761,0.0008185352771872701,0.6954666666666668,0.009712020043911255,7.316800000000001,0.03458959381085606,31.333333333333332
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7355666666666666,0.006603282012252165,0.7075,0.013797101144805752,7.2860000000000005,0.061500243901955264,30.666666666666668
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7582333333333334,0.0014364307617609946,0.6932999999999999,0.009877246579892624,7.3402,0.02191186892987383,26.666666666666668
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7427,0.002253885533916901,0.6998000000000001,0.018587361297397714,7.295333333333333,0.033719776590797744,24.666666666666668
CNN,EW,"('next_time',)",0.001,None,,,0.6778333333333334,0.01089694146691322,,,37.0
CNN,EW,"('next_activity',)",0.001,None,0.4610666666666667,0.0020305992547357287,,,,,9.0
CNN,EW,"('remaining_time',)",0.001,None,,,,,7.291533333333334,0.03530004721432116,25.666666666666668
