Model,MTL,Tasks,Learning Rate,MTL HPO,NEXT_ACTIVITY_mean,NEXT_ACTIVITY_std,NEXT_TIME_mean,NEXT_TIME_std,REMAINING_TIME_mean,REMAINING_TIME_std,Best Epoch_mean
LSTM,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,3.0,0.6440666666666667,0.0057743686523578355,1.3191666666666666,0.06535291373254411,9.2805,0.0979453419004708,196.66666666666666
LSTM,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.6342666666666666,0.00873689494805407,1.3544666666666665,0.048420278121189396,10.090966666666667,0.48438623363317523,149.0
LSTM,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.1,0.6497666666666667,0.009449514978734861,1.3248333333333333,0.06747564992894362,9.316166666666666,0.22802202379010045,197.0
LSTM,EW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.6387,0.0074081036709809115,1.3374333333333333,0.05921320235668166,9.319233333333333,0.3131453549604931,185.0
LSTM,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.6338,0.007300000000000056,1.3473,0.05886832764738604,9.465733333333333,0.36879498821612827,180.66666666666666
LSTM,DWA,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.6387333333333334,0.0037447741364911467,1.3294,0.07126822573910466,9.218866666666665,0.14597918801436444,198.33333333333334
LSTM,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.6588666666666666,0.008351247411814176,1.3206,0.05724220470946231,10.730133333333333,0.6779244525264831,153.0
LSTM,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.6376,0.005288667128870966,1.3280666666666667,0.06181798551662237,9.324866666666667,0.15088049354814997,195.33333333333334
LSTM,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,2.0,0.6607,0.004457577817604514,1.3190666666666666,0.06924314647193125,9.405666666666667,0.17027596228867262,198.33333333333334
LSTM,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.6574333333333333,0.00496923870762252,1.3230333333333333,0.07035810780097297,9.651166666666667,0.2752731249746942,195.33333333333334
LSTM,GLS,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.6633333333333333,0.0033291640592397133,1.3007,0.07344875764776411,10.225533333333333,0.5523940290529333,165.66666666666666
LSTM,UW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.6606333333333333,0.0030171730698343295,1.3105666666666667,0.06912990187562348,9.489333333333333,0.1125267227521229,197.0
LSTM,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,0.5615333333333333,0.055542446231088276,1.5407,0.05263677421727133,12.170833333333334,0.26446023015442893,35.333333333333336
LSTM,UW_SO,"('next_activity', 'next_time')",0.0001,3.0,0.6607000000000001,0.009333809511662459,1.2795,0.010182337649086342,,,111.5
LSTM,RLW,"('next_activity', 'next_time')",0.0001,None,0.65795,0.0006363961030679405,1.27985,0.024112341238461284,,,108.5
LSTM,CAGrad,"('next_activity', 'next_time')",0.0001,0.3,0.65925,0.005586143571373738,1.28235,0.01081873375215432,,,95.5
LSTM,EW,"('next_activity', 'next_time')",0.0001,None,0.65925,0.0072831998462214225,1.2819500000000001,0.01619274528917196,,,114.0
LSTM,GradDrop,"('next_activity', 'next_time')",0.0001,None,0.66005,0.005586143571373738,1.2730000000000001,0.018526197667087466,,,118.0
LSTM,DWA,"('next_activity', 'next_time')",0.0001,None,0.65835,0.005444722215136444,1.28135,0.02043538597629133,,,82.5
LSTM,UW_O,"('next_activity', 'next_time')",0.0001,None,0.6590499999999999,0.0036062445840513483,1.2881,0.016970562748477157,,,80.0
LSTM,Nash_MTL,"('next_activity', 'next_time')",0.0001,None,0.6560999999999999,0.007636753236814775,1.28445,0.020859650045002974,,,90.5
LSTM,GradNorm,"('next_activity', 'next_time')",0.0001,1.0,0.66195,0.005444722215136405,1.2941,0.009333809511662341,,,94.5
