Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,175.0,15.0121,0.517,1.5277,11.8334
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,123,137.0,14.7566,0.524,1.5125,12.0648
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,21.0,15.3494,0.445,1.5329,12.3445
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,17.0,15.5635,0.4137,1.5448,12.0078
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,2025,17.0,15.0774,0.413,1.6581,12.6192
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,3.0,42,136.0,14.9823,0.5228,1.525,11.7856
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.0,123,148.0,14.6883,0.5242,1.5296,11.9834
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,10.0,42,179.0,14.9544,0.524,1.5269,11.827
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,17.0,15.5814,0.4129,1.5447,12.047
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.9,42,200.0,15.0094,0.5263,1.5227,11.8442
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,123,12.0,15.4544,0.4105,1.5337,12.3574
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,52.0,15.4108,0.4105,1.533,12.3457
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,2025,19.0,15.1697,0.413,1.658,12.6104
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,123,25.0,15.4144,0.4105,1.5333,12.3489
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,42,20.0,15.5739,0.4129,1.5423,12.0356
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,2025,6.0,15.0421,0.4347,1.6659,12.6166
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.7,2025,143.0,14.4585,0.5249,1.6201,12.3392
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,194.0,14.4046,0.5144,1.6413,12.3129
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,42,6.0,15.6686,0.4129,1.5445,12.0522
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,2025,105.0,14.7382,0.4991,1.6487,12.581
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,123,27.0,15.5245,0.4105,1.5337,12.3445
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,123,56.0,15.4127,0.4105,1.533,12.3453
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.1,2025,130.0,14.5134,0.5183,1.6321,12.4034
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,123,31.0,15.4137,0.4105,1.5333,12.3449
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,15.0,15.0396,0.4133,1.6574,12.5882
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,123,42.0,15.5241,0.4105,1.5338,12.3442
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.5,42,134.0,15.1588,0.5136,1.5258,11.9637
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,60.0,14.899,0.4592,1.6598,12.6057
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,7.0,123,116.0,14.8275,0.5102,1.5304,12.0886
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,200.0,14.7021,0.5136,1.528,12.0133
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,42,18.0,15.6663,0.4129,1.5444,12.047
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,55.0,15.5542,0.4129,1.5432,12.0527
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.3,123,190.0,14.6815,0.5192,1.5176,11.9897
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,2025,29.0,15.1716,0.413,1.6581,12.6105
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,151.0,14.2989,0.5374,1.6226,12.3729
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,42,53.0,15.5553,0.4129,1.5429,12.0521
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,12.0,15.1359,0.413,1.6602,12.6666
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,2025,29.0,15.171,0.413,1.6581,12.6105
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,29.0,15.171,0.413,1.6581,12.6104
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,42,26.0,15.5776,0.4129,1.5428,12.037
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,35.0,15.4147,0.4598,1.548,12.0135
