Model,MTL,Tasks,Learning Rate,MTL HPO,NEXT_ACTIVITY_mean,NEXT_ACTIVITY_std,NEXT_TIME_mean,NEXT_TIME_std,REMAINING_TIME_mean,REMAINING_TIME_std,Best Epoch_mean
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,0.439,0.023377767215882698,1.6319,0.08418770694109678,12.645000000000001,0.3722070794598082,52.666666666666664
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,0.3815666666666666,0.03525426688123486,2.2394666666666665,0.6060180057831065,14.762299999999998,2.3176557488117173,24.333333333333332
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.4263666666666667,0.02472050430985043,1.5799,0.06901507081790176,12.279300000000001,0.2759351191856521,22.0
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,0.4075666666666667,0.010027129865187407,1.6221333333333334,0.06752490898426555,12.605200000000002,0.6305948858022871,51.0
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.3929666666666667,0.017258717603962727,2.5668333333333333,0.07591128594177103,15.930933333333334,0.36541831280511006,7.0
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.3973,0.07143472544918195,1.9654666666666667,0.48622922920504613,15.094133333333332,1.6114505153225562,25.333333333333332
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.40409999999999996,0.0424844677499907,2.8783333333333334,2.2611060486702814,15.181833333333332,2.2558448136636815,29.666666666666668
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.4077,0.04092969582100509,2.8035333333333328,1.4186167217868724,14.748800000000001,2.3732562208914567,18.666666666666668
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,,,,,,,
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.4540666666666667,0.001833939293797187,1.5798666666666668,0.07198932791277711,12.3029,0.2756112660977416,20.666666666666668
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.4236,0.014107799261401464,1.9111333333333331,0.5368232701116201,645.2976666666667,1093.0140014560307,35.333333333333336
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.45436666666666664,0.0025146238950056314,1.5792333333333335,0.07003101693773504,12.309633333333332,0.26908791004676075,21.0
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.3851,0.06249831997742022,2.3348333333333335,0.7164974133472735,14.747633333333333,2.38122224988205,22.333333333333332
CNN,EW,"('next_time',)",0.001,None,,,2.5766,0.0689439627523688,,,6.0
CNN,EW,"('next_activity',)",0.001,None,0.45270000000000005,0.0023065125189341337,,,,,14.333333333333334
CNN,EW,"('remaining_time',)",0.001,None,,,,,15.968533333333333,0.3484022148800626,3.6666666666666665
