Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,2025,29.0,18.9604,0.4013,2.0844,15.6908
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,2025,3.0,30.4129,0.3694,2.6549,16.3306
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,123,2.0,31.156,0.3813,3.6547,15.9275
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,2025,3.0,27.4331,0.3272,2.6541,16.3028
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,18.0,15.3275,0.4114,1.5343,12.3048
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,42,45.0,15.4623,0.417,1.5461,11.9997
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,42,1.0,29.7144,0.4205,2.5252,15.6269
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,33.0,18.5935,0.4541,1.6811,16.3526
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,2025,21.0,21.0344,0.4051,2.7153,252.4409
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,42,47.0,19.7613,0.3893,1.8944,15.1775
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,42,56.0,15.4983,0.4165,1.544,12.097
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,56.0,18.9681,0.4484,1.5369,16.6317
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,123,11.0,25.5863,0.3871,2.5132,15.8779
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,2025,3.0,28.0744,0.3002,2.6547,16.3217
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,11.0,25.4517,0.3754,2.517,15.8697
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,7.0,27.97,0.3949,2.5203,15.9125
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,2025,58.0,14.9427,0.4132,1.6594,12.5304
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,42,36.0,19.0417,0.4536,1.5516,15.6775
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,2025,28.0,19.5068,0.3912,2.6194,15.4432
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,123,12.0,24.2331,0.4035,2.5164,15.8819
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,123,53.0,15.328,0.4174,1.5357,12.3052
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,42,53.0,15.4596,0.4138,1.5442,11.9966
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,2025,3.0,27.8,0.2897,2.6475,16.3203
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,2025,53.0,14.968,0.4156,1.6599,12.5728
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,2.0,35.841,0.3637,5.4889,16.331
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,42,42.0,16.7789,0.4496,1.6976,13.0436
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,2025,39.0,14.9408,0.4141,1.659,12.5761
