Model,MTL,Tasks,Learning Rate,MTL HPO,NEXT_ACTIVITY_mean,NEXT_ACTIVITY_std,NEXT_TIME_mean,NEXT_TIME_std,REMAINING_TIME_mean,REMAINING_TIME_std,Best Epoch_mean
LSTM,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,0.7988666666666667,0.004118656738954264,5.063433333333333,0.1155004040396974,6.345700000000001,0.11646046539491428,37.0
LSTM,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7973666666666667,0.0055518765596267805,5.0791,0.08626957748824295,6.334766666666667,0.06221915567840291,43.0
LSTM,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7980666666666667,0.005885858759206979,5.061933333333333,0.09549504350139504,6.325166666666667,0.07954258817346457,45.666666666666664
LSTM,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,0.7953,0.0018681541692269544,5.0701,0.13886774283468462,6.3352,0.10440464549051395,30.666666666666668
LSTM,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7979333333333333,0.00645316459834505,5.0853,0.144454283425588,6.3151,0.09750389735800337,38.0
LSTM,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7984333333333332,0.00450814078455117,5.094,0.11846535358492011,6.310266666666667,0.08714409522930011,39.0
LSTM,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7955666666666666,0.005550975890177637,5.104399999999999,0.0866971164457043,6.3476333333333335,0.0499359923635584,33.666666666666664
LSTM,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7975666666666666,0.0005507570547286167,5.0738666666666665,0.11968342965228461,6.368333333333333,0.026563947999748254,18.333333333333332
LSTM,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7984666666666667,0.004764801499887802,5.0734,0.14587066188922293,6.328399999999999,0.10384454728102019,34.333333333333336
LSTM,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7991333333333334,0.0018502252115170739,5.072266666666667,0.0898678103290229,6.328233333333333,0.06117044493326276,27.333333333333332
LSTM,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7978666666666667,0.006448514040717691,5.095533333333333,0.1253762470858551,6.338266666666667,0.08450232738412163,39.333333333333336
LSTM,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,0.7971666666666666,0.002657693235370297,5.0635,0.10369103143473907,6.3455,0.04243500913161209,42.666666666666664
LSTM,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7975333333333333,0.0025658007197234514,5.087033333333333,0.10060985703862872,6.346033333333334,0.07054617872949161,26.333333333333332
LSTM,UW_SO,"('next_activity', 'remaining_time')",0.001,20.0,0.7980666666666667,0.0028919428302325526,,,6.3370999999999995,0.07500739963496929,43.333333333333336
LSTM,RLW,"('next_activity', 'remaining_time')",0.001,None,0.7996666666666666,0.003927255190757702,,,6.325,0.05588568689745177,45.666666666666664
LSTM,Scalarization,"('next_activity', 'remaining_time')",0.001,"[0.5, 0.5]",0.7978333333333333,0.005314445722117513,,,6.318666666666666,0.08221473914897082,41.333333333333336
LSTM,GradDrop,"('next_activity', 'remaining_time')",0.001,None,0.7936,0.0055973207876626185,,,6.345366666666666,0.09015000462192659,49.666666666666664
LSTM,CAGrad,"('next_activity', 'remaining_time')",0.001,0.9,0.7982999999999999,0.003831448812133611,,,6.375266666666666,0.030039363064708016,31.0
LSTM,DWA,"('next_activity', 'remaining_time')",0.001,None,0.7986,0.002981610303175129,,,6.323433333333334,0.07315643056719841,41.666666666666664
LSTM,Nash_MTL,"('next_activity', 'remaining_time')",0.001,None,0.7954,0.002211334438749533,,,6.374199999999999,0.056423133553534593,37.0
LSTM,IMTL,"('next_activity', 'remaining_time')",0.001,None,0.7991,0.0035000000000000447,,,6.401,0.048996836632583085,18.333333333333332
LSTM,UW_O,"('next_activity', 'remaining_time')",0.001,None,0.7977,0.007871467461661792,,,6.366,0.06484080505360813,27.666666666666668
LSTM,EW,"('next_activity', 'remaining_time')",0.001,None,0.7982,0.0038314488121336436,,,6.3145,0.0946072407376941,35.666666666666664
LSTM,PCGrad,"('next_activity', 'remaining_time')",0.001,None,0.7955333333333333,0.006226823695378939,,,6.327533333333334,0.037966608135746406,43.666666666666664
