Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,110.0,13.0415,0.7591,5.6014,7.1738
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.01,None,42,9.0,14.4841,0.7457,6.1924,7.7387
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,123,127.0,12.7006,0.784,5.6042,6.8848
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.01,2.0,123,6.0,18.5775,0.6776,8.5447,9.4864
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.7,2025,23.0,15.51,0.7541,6.4373,7.7919
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,44.0,12.7173,0.7705,5.6462,6.9544
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,53.0,12.6431,0.7753,5.4544,6.9395
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,None,123,14.0,16.9749,0.5654,7.7219,8.5843
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.9,123,30.0,14.2385,0.7607,6.2609,7.4193
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.01,1.5,42,1.0,22.24,0.4506,11.0052,10.4183
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,20.0,123,2.0,22.1457,0.6683,11.3777,9.7083
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,2025,45.0,13.5464,0.78,5.4806,6.8522
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,3.0,42,129.0,12.8069,0.7639,5.5531,7.0578
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.0,123,111.0,12.8438,0.7764,5.6483,6.9993
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,10.0,42,129.0,12.8902,0.7615,5.5657,7.0618
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,52.0,12.5784,0.7756,5.479,6.9992
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.9,42,182.0,12.5669,0.7796,5.4639,6.9129
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.01,None,2025,17.0,19.0959,0.6801,8.493,9.5405
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,123,46.0,12.496,0.7807,5.5263,6.7932
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,51.0,12.5397,0.7809,5.5449,7.0024
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,2025,49.0,12.896,0.7866,5.2964,6.699
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.01,None,42,12.0,14.5947,0.7372,6.2793,7.8124
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,123,67.0,12.4186,0.7812,5.5397,6.7819
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,42,50.0,12.4267,0.7834,5.259,6.7921
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.01,None,2025,36.0,15.778,0.6302,6.3992,7.6501
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,5.0,2025,28.0,15.8159,0.7356,6.9598,7.599
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,2025,64.0,12.9488,0.7865,5.3323,6.6436
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.7,2025,176.0,13.2144,0.7875,5.4025,6.6624
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,115.0,13.8385,0.7673,5.5165,6.9
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,42,23.0,12.8911,0.7699,5.5552,7.1664
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,2025,124.0,13.5858,0.7761,5.53,6.8998
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,123,43.0,12.4891,0.7764,5.5668,6.875
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,123,51.0,12.466,0.7857,5.4851,6.8577
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.01,None,2025,46.0,14.6624,0.7607,5.9534,7.6648
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.1,2025,172.0,13.3465,0.78,5.4484,6.7782
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,123,86.0,12.4455,0.7807,5.5381,6.8439
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,43.0,13.4941,0.7729,5.4526,6.8958
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.01,None,123,7.0,20.1161,0.5067,9.2134,9.8076
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,10.0,2025,13.0,19.9121,0.5247,8.4354,10.4605
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,123,28.0,12.6324,0.7774,5.6239,6.872
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.5,42,181.0,12.6211,0.7744,5.5116,6.9461
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.01,None,42,19.0,16.8587,0.512,7.5092,8.5352
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,15.0,42,17.0,16.226,0.5695,6.7966,8.4943
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,121.0,13.529,0.7842,5.5021,6.8356
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.5,42,18.0,14.5794,0.7389,6.1928,7.9628
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.01,None,123,9.0,22.5516,0.5106,13.918,9.8998
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,7.0,123,121.0,12.909,0.7669,5.6583,6.9547
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,118.0,12.9433,0.7673,5.6741,6.9609
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,42,29.0,12.85,0.7692,5.5224,7.0881
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,25.0,12.9494,0.7642,5.5691,7.1438
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.3,123,86.0,12.9012,0.7744,5.7093,6.9924
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,2025,53.0,12.9774,0.788,5.3145,6.7145
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,141.0,13.5328,0.7794,5.5182,6.8643
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,42,37.0,12.7983,0.7691,5.5092,7.0508
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.01,1.0,123,40.0,14.5548,0.7508,6.7509,7.3668
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,59.0,13.5093,0.7719,5.4571,6.8464
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,3.0,2025,23.0,16.0257,0.7244,6.7367,7.6317
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,2025,41.0,13.0845,0.7836,5.3424,6.7127
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.01,2.0,2025,59.0,15.6752,0.7538,6.6851,7.4484
