Model,MTL,Tasks,Learning Rate,MTL HPO,NEXT_ACTIVITY_mean,NEXT_ACTIVITY_std,NEXT_TIME_mean,NEXT_TIME_std,REMAINING_TIME_mean,REMAINING_TIME_std,Best Epoch_mean
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,0.7607333333333334,0.006727803009403145,6.056933333333333,0.07380659410468211,7.6154,0.10390808438230381,44.666666666666664
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,0.7692666666666668,0.004113797920818829,6.088066666666667,0.0728959761120824,7.7306333333333335,0.07362861762476129,47.333333333333336
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7593333333333333,0.007592320681671286,6.0517666666666665,0.11013093722171463,7.597266666666666,0.14516874089601153,37.666666666666664
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,0.7593,0.004513313638558655,6.085833333333333,0.08548756244819115,7.605533333333334,0.14196747280040417,51.666666666666664
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7553,0.007769813382572303,6.090733333333333,0.10335890543796124,7.632466666666667,0.07540784662973314,45.333333333333336
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7582,0.006415605972938168,6.094433333333334,0.08937798013679507,7.697933333333334,0.08768890085599937,31.333333333333332
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7571666666666667,0.006185736280616391,6.1086,0.17052058526758582,7.652866666666667,0.23704042552554905,44.333333333333336
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7663333333333333,0.004423045707805109,6.089700000000001,0.13375002803737995,7.752800000000001,0.07234590520547851,44.666666666666664
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7689333333333334,0.004201587001756976,6.001266666666666,0.05376154139655325,7.5244333333333335,0.026800248755064378,53.0
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7694000000000001,0.003207802986469049,6.025299999999999,0.08465742731739499,7.6555333333333335,0.10920097679660815,44.0
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7589333333333332,0.008623417729260995,6.133500000000001,0.06078642940657057,7.709700000000001,0.1972189899578637,48.666666666666664
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7676333333333334,0.0052814139520902135,6.027666666666666,0.06095853782148433,7.690366666666667,0.05847156003847763,47.333333333333336
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.7606333333333333,0.0056659803505953515,6.047999999999999,0.0843912317720272,7.616766666666667,0.10790854152166711,47.333333333333336
CNN,EW,"('next_time',)",0.001,None,,,6.1331,0.06445067881721675,,,42.0
CNN,EW,"('next_activity',)",0.001,None,0.6534333333333333,0.006104370019365901,,,,,47.0
CNN,EW,"('remaining_time',)",0.001,None,,,,,7.403300000000001,0.1116582285369063,63.0
