Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,2025,43,15.001,0.7666,6.0231,7.7435
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,2025,46,14.8799,0.7658,5.988,7.6361
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,123,40,14.2719,0.7693,6.1279,7.8203
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,2025,37,14.9302,0.7701,5.9752,7.625
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,30,14.0531,0.755,6.1724,7.5684
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,42,54,14.2796,0.7597,6.0147,7.7597
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,42,52,14.2476,0.7546,6.007,7.7379
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,30,14.9817,0.7616,6.0134,7.6726
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,2025,47,14.957,0.7701,5.9876,7.771
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,42,52,14.3366,0.7619,6.0351,7.8081
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,42,52,14.3336,0.7648,6.0742,7.7953
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,27,14.4239,0.7564,6.3055,7.8108
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,123,44,14.217,0.7606,6.2092,7.7149
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,2025,46,14.9035,0.7654,6.0494,7.6314
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,25,14.0588,0.7541,6.2035,7.5998
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,46,14.213,0.7681,6.2375,7.7485
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,2025,43,14.9613,0.7636,6.0738,7.6231
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,42,52,14.2673,0.7564,6.0792,7.7378
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,2025,43,14.931,0.7693,5.9844,7.6718
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,52,14.0133,0.7648,5.9682,7.5513
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,123,40,13.8838,0.7633,6.1348,7.5027
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,123,84,14.1751,0.7741,6.1238,7.7533
