Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,Scalarization,"('next_activity', 'next_time', 'remaining_time')",0.001,"[0.4, 0.1, 0.5]",2025,38.0,7.0462,0.8733,1.1295,5.2698
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,76.0,7.5075,0.8255,1.2509,6.0728
CNN,Scalarization,"('next_activity', 'next_time', 'remaining_time')",0.001,"[0.2, 0.1, 0.7]",123,70.0,6.8528,0.8385,1.0819,5.4615
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.01,None,42,14.0,8.2313,0.8391,1.3053,6.7283
CNN,Scalarization,"('next_activity', 'next_time', 'remaining_time')",0.001,"[0.5, 0.3, 0.2]",2025,26.0,7.1778,0.8704,1.0618,5.4518
CNN,Scalarization,"('next_activity', 'next_time', 'remaining_time')",0.01,"[0.7, 0.2, 0.1]",2025,42.0,8.4189,0.8657,1.2077,6.4116
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,123,92.0,7.3108,0.8709,1.0483,5.8508
CNN,Scalarization,"('next_activity', 'next_time', 'remaining_time')",0.001,"[0.1, 0.3, 0.6]",123,40.0,6.9823,0.8461,1.0677,5.5222
CNN,Scalarization,"('next_activity', 'next_time', 'remaining_time')",0.0001,"[0.3, 0.4, 0.3]",123,90.0,7.2891,0.8368,1.0566,5.779
CNN,Scalarization,"('next_activity', 'next_time', 'remaining_time')",0.0001,"[0.1, 0.1, 0.8]",2025,122.0,7.5026,0.816,1.2691,5.3761
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.01,2.0,123,13.0,8.3138,0.7505,1.1569,6.5466
CNN,Scalarization,"('next_activity', 'next_time', 'remaining_time')",0.001,"[0.1, 0.4, 0.5]",123,68.0,6.7487,0.8547,1.0637,5.4471
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.7,2025,10.0,8.8418,0.8237,1.1928,6.5254
CNN,Scalarization,"('next_activity', 'next_time', 'remaining_time')",0.01,"[0.6, 0.3, 0.1]",42,9.0,8.4875,0.8385,1.3042,6.9387
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,29.0,7.0152,0.8727,1.1149,5.8063
CNN,Scalarization,"('next_activity', 'next_time', 'remaining_time')",0.01,"[0.2, 0.5, 0.3]",123,12.0,8.4636,0.7302,1.1949,6.646
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,32.0,7.379,0.8521,1.2069,6.0462
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,None,123,35.0,8.1547,0.8333,1.1487,6.508
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.9,123,26.0,8.1189,0.8432,1.1205,6.7076
CNN,Scalarization,"('next_activity', 'next_time', 'remaining_time')",0.0001,"[0.3, 0.4, 0.3]",2025,75.0,7.4847,0.8507,1.1355,5.6331
CNN,Scalarization,"('next_activity', 'next_time', 'remaining_time')",0.01,"[0.2, 0.5, 0.3]",2025,31.0,8.5084,0.7537,1.2508,6.1201
