Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,2025,22,8.4177,0.8443,1.1245,6.3153
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,2025,25,8.3307,0.8576,1.0956,6.1722
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,123,42,7.7361,0.8426,1.1455,6.3418
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,2025,42,8.2991,0.8582,1.1124,6.1101
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,42,7.622,0.849,1.1241,6.2876
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,42,14,8.0557,0.8269,1.2994,6.6073
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,42,76,7.6132,0.8323,1.2482,6.1818
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,69,7.8964,0.8547,1.1185,5.7241
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,2025,22,8.4134,0.8478,1.1332,6.2748
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,42,39,7.9516,0.8286,1.2721,6.5511
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,42,16,8.0342,0.826,1.2714,6.5729
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,42,7.7025,0.8524,1.1187,6.368
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,123,38,7.8011,0.86,1.1131,6.5556
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,2025,51,8.0069,0.8553,1.127,5.8117
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,54,7.5891,0.8594,1.1377,6.1807
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,24,7.9119,0.8438,1.1239,6.7159
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,2025,40,7.9612,0.8455,1.1198,5.9664
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,42,40,7.874,0.83,1.257,6.4355
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,2025,60,7.9941,0.8536,1.1352,5.7848
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,22,8.0471,0.8367,1.2624,6.5444
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,123,40,7.7416,0.849,1.1111,6.5081
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,123,38,7.8348,0.855,1.1543,6.6198
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,42,29,8.3245,0.8161,1.341,6.8968
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,2025,54,8.1299,0.8559,1.1265,5.9482
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,2025,43,8.1071,0.848,1.1251,5.9596
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,54,7.8716,0.8542,1.1412,5.7995
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,42,17,8.198,0.8333,1.325,6.7596
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,2025,48,8.0215,0.8495,1.1026,5.8573
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,48,7.6483,0.8318,1.253,6.2687
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,2025,78,8.1092,0.8466,1.126,5.9194
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,10,8.7016,0.831,1.1803,6.4543
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,23,7.9337,0.8234,1.2806,6.5761
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,42,25,8.0139,0.8335,1.2854,6.4849
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,42,40,7.8642,0.8402,1.2296,6.4245
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,2025,19,8.6368,0.8391,1.2239,6.4482
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,55,7.6195,0.8306,1.2489,6.1824
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,123,20,7.9051,0.8484,1.1287,6.5695
