Model,MTL,Tasks,Learning Rate,MTL HPO,NEXT_ACTIVITY_mean,NEXT_ACTIVITY_std,NEXT_TIME_mean,NEXT_TIME_std,REMAINING_TIME_mean,REMAINING_TIME_std,Best Epoch_mean
LSTM,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,0.5076999999999999,0.01541557653803449,1.0139,0.1615337735583491,4.847266666666666,0.06880859926879251,65.33333333333333
LSTM,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.48933333333333334,0.014011899704655816,1.0153666666666668,0.14984079328852115,4.7712,0.38983724809207204,69.66666666666667
LSTM,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.49266666666666664,0.03243783798796295,1.0168666666666666,0.13762010512033956,4.787633333333333,0.27607691561109066,79.33333333333333
LSTM,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.5001333333333333,0.017771981694041115,0.9986,0.15174112824148897,4.789533333333334,0.02960563009519217,71.0
LSTM,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,0.48713333333333336,0.02293846841734062,1.0763,0.17234465468937532,4.978233333333333,0.40916936998428094,66.0
LSTM,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,0.48510000000000003,0.010772186407596215,1.0648333333333333,0.19385185924652182,6.085266666666667,0.026815169835996598,50.333333333333336
LSTM,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.5038333333333332,0.021585720588697805,1.0214,0.16879297971183524,4.852466666666667,0.11560697787475208,64.33333333333333
LSTM,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.49833333333333335,0.02036082840488898,1.0813,0.13680175437471548,6.687633333333333,2.0981833197633932,50.666666666666664
LSTM,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.48946666666666666,0.021539808108089836,1.0171333333333334,0.15307985933274612,5.633,0.38366895886949204,48.0
LSTM,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.4925333333333333,0.021195361127693314,1.0132333333333332,0.15088768449854792,4.7717,0.14930502335822454,64.33333333333333
LSTM,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.49783333333333335,0.021709521720510903,1.0374333333333334,0.1607743864343239,5.3734,0.12668934446116614,58.333333333333336
