Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,57.0,13.3328,0.4093,0.8182,11.2316
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.01,None,42,7.0,15.6384,0.3962,0.8184,13.1403
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,123,41.0,17.7662,0.3947,1.0714,13.9329
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.01,2.0,123,1.0,20.1727,0.2689,1.0753,14.9892
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.7,2025,6.0,17.8817,0.2867,1.1234,14.9771
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,173.0,10.3982,0.4525,1.0641,8.3489
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,41.0,9.8306,0.4321,0.8235,7.9012
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,None,123,27.0,18.8337,0.2654,1.0519,14.8592
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.9,123,7.0,18.6488,0.282,1.0529,14.8289
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.01,1.5,42,11.0,14.517,0.4167,0.8152,12.6398
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,20.0,123,23.0,18.7593,0.2654,1.0539,14.8477
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,2025,67.0,12.8068,0.4282,1.1345,10.1453
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,3.0,42,73.0,12.2383,0.4201,0.8157,10.1661
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.0,123,41.0,18.2154,0.3727,1.0932,14.3913
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,10.0,42,84.0,11.7808,0.4321,0.8162,9.7513
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,77.0,9.1097,0.4263,0.8694,6.7294
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.9,42,97.0,12.2713,0.4344,0.8401,10.1231
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.01,None,2025,37.0,15.3096,0.3573,1.1321,12.1838
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,123,96.0,13.2876,0.4325,1.0625,10.639
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,160.0,9.9449,0.4599,1.072,7.5901
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,2025,52.0,11.1639,0.4576,1.1491,8.9546
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.01,None,42,49.0,14.3907,0.4309,0.8171,12.0764
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,123,59.0,14.2808,0.4414,1.0617,11.9244
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,42,43.0,11.0564,0.4263,0.8613,8.8029
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.01,None,2025,9.0,17.2518,0.2963,1.115,14.0069
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,5.0,2025,5.0,17.9795,0.3005,1.115,14.9778
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,2025,36.0,11.9394,0.4398,1.1851,9.3453
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.7,2025,73.0,13.2481,0.4356,1.1277,10.7158
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,44.0,14.2795,0.4105,1.1202,11.4077
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,42,59.0,9.1275,0.4248,0.8153,6.9833
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,2025,72.0,13.5542,0.429,1.1209,10.9209
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,123,156.0,10.4665,0.4363,1.0726,7.6355
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,123,121.0,13.8983,0.4275,1.0912,10.7697
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.01,None,2025,17.0,17.6608,0.3044,1.1174,14.6389
