Model,MTL,Tasks,Learning Rate,MTL HPO,NEXT_ACTIVITY_mean,NEXT_ACTIVITY_std,NEXT_TIME_mean,NEXT_TIME_std,REMAINING_TIME_mean,REMAINING_TIME_std,Best Epoch_mean
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,0.4323666666666666,0.03359528736792311,1.0966666666666667,0.12012037018479982,14.228466666666668,2.203271663534329,50.0
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,0.40443333333333337,0.03075489120990897,1.1632666666666667,0.2566264665488214,16.146933333333333,2.891553067701394,35.666666666666664
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.40640000000000004,0.005237365750069379,1.0408,0.15509316554896935,11.159166666666666,0.38222467651020847,69.66666666666667
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,0.39376666666666665,0.04743145932114395,1.0894666666666666,0.19522541671957913,14.205133333333334,3.3880349530861285,56.666666666666664
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.37823333333333337,0.03726611508238194,1.1569333333333334,0.20426963389924932,16.556900000000002,2.463414855439497,21.333333333333332
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.3755,0.034305538911376984,1.1600666666666666,0.1848839996682605,17.2004,1.600387674908802,14.0
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.4094333333333333,0.017221014294556893,1.1878666666666666,0.19079523928372352,16.484666666666666,1.346620682795766,19.0
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.4263333333333333,0.01874148695630456,1.1635666666666666,0.2033621482315068,15.506333333333336,2.037926972031465,46.333333333333336
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.4332666666666667,0.028522681033404513,1.0627,0.1521076263702777,13.407200000000001,0.7202669158027457,39.0
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.429,0.014967965793654139,1.0571666666666666,0.14117256579567206,13.417466666666668,0.20161062306667693,28.0
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.3975,0.01767144589443659,1.1927333333333332,0.09136133390736663,17.604200000000002,0.9527559026319404,18.666666666666668
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.4346666666666667,0.03478366474846106,1.0679666666666667,0.16046658011353426,14.412133333333335,0.05491851539629791,39.0
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.4253,0.0037322915213043235,1.159,0.05767607823006011,16.270266666666668,1.7032950488195917,12.333333333333334
CNN,EW,"('next_time',)",0.001,None,,,1.0138,0.16323614795749133,,,15.0
CNN,EW,"('next_activity',)",0.001,None,0.3108,0.004309292285283044,,,,,27.333333333333332
CNN,EW,"('remaining_time',)",0.001,None,,,,,16.098433333333332,1.8458106466626882,22.666666666666668
