Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,2025,67,15.6845,0.4383,1.2088,13.2963
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,2025,52,14.2161,0.4228,1.1635,12.0679
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,123,7,22.4965,0.4113,1.1924,18.1747
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,2025,22,21.8945,0.3731,1.3078,18.0411
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,97,13.8663,0.4082,1.0911,10.7332
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,42,9,18.7538,0.4012,0.986,15.7369
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,42,15,17.9523,0.4271,0.9025,15.1659
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,22,21.7094,0.3684,1.308,18.2403
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,2025,47,15.7802,0.4321,1.183,13.3864
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,42,6,19.2802,0.3962,0.9699,16.7446
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,42,64,15.1747,0.4259,0.9031,12.8211
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,23,20.8225,0.4228,1.2799,16.1531
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,123,9,22.5331,0.3391,1.2197,18.0277
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,2025,17,21.9356,0.3927,1.317,18.4685
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,9,22.4316,0.3438,1.2281,17.9739
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,23,22.143,0.4171,1.2531,17.3011
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,2025,27,22.029,0.3966,1.3352,18.205
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,42,50,15.3407,0.424,0.865,13.0148
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,2025,22,21.9358,0.3781,1.3372,18.1842
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,12,15.9043,0.4267,0.8956,13.4129
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,123,15,22.3026,0.4371,1.1545,17.7191
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,123,21,20.2634,0.4471,1.1735,15.9493
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,42,12,19.1742,0.4062,0.9278,16.4092
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,2025,27,21.6731,0.3858,1.3138,17.8725
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,2025,22,21.0245,0.3877,1.3675,17.3718
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,22,21.5481,0.39,1.3152,17.9661
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,42,22,17.1137,0.4394,0.8972,14.1707
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,2025,22,21.8256,0.3773,1.3083,18.3061
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,57,13.7663,0.4005,0.8668,11.4722
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,2025,22,21.8361,0.3854,1.3047,18.06
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,35,15.7255,0.4232,1.1769,13.1947
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,8,21.6857,0.4051,1.0894,18.6078
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,42,11,18.5519,0.407,1.0811,15.5489
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,42,43,16.7666,0.4209,0.8925,13.9688
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,2025,66,17.7031,0.4097,1.1954,14.2378
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,11,18.332,0.4128,0.9528,15.3575
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,123,25,22.4781,0.4144,1.3872,17.3601
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,123,9,22.3021,0.3372,1.198,17.9185
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,42,30,17.1846,0.4174,0.9084,14.2118
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,10,16.9865,0.4329,0.8866,14.3647
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,29,16.1219,0.4178,0.9015,13.4703
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,73,16.2416,0.4479,0.9308,13.2909
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,59,18.1767,0.4703,1.1258,14.4723
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,12,17.6709,0.4155,0.9685,15.3348
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,2025,41,15.7814,0.4317,1.1455,15.0124
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,42,27,17.4063,0.4352,0.9614,14.1846
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,48,17.3807,0.4008,1.1915,14.3994
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,9,22.485,0.3453,1.2194,18.0034
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,20,17.2906,0.446,1.0931,13.5874
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,123,9,22.5097,0.3438,1.1636,18.0002
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,123,24,19.6407,0.4406,1.2005,15.6061
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,42,4,19.4512,0.4275,1.0964,16.263
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,123,9,22.4835,0.3511,1.193,17.9489
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,123,9,22.3621,0.3503,1.1904,17.937
