Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,42,88.0,30.8101,0.4931,1.8787,27.6772
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.01,None,42,8.0,32.9854,0.4499,1.8749,29.8744
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,123,128.0,30.1591,0.5802,1.844,25.7654
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.01,2.0,123,11.0,32.9865,0.4322,2.0432,28.5294
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.7,2025,3.0,35.7334,0.2959,2.1504,28.682
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,73.0,27.9803,0.5052,2.0285,23.6182
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,20.0,30.8768,0.5178,1.7925,28.1134
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,None,123,3.0,33.4405,0.3469,2.0573,28.8108
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.9,123,11.0,33.9704,0.2384,2.0608,29.0436
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.01,1.5,42,14.0,34.0376,0.3004,1.9049,30.2638
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,20.0,123,6.0,33.5059,0.2995,2.0552,28.8472
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,2025,105.0,30.3877,0.5173,2.0569,23.8173
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,3.0,42,42.0,31.4777,0.4759,1.8798,28.2392
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.0,123,177.0,29.6456,0.5531,1.9483,25.0252
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,10.0,42,53.0,31.3611,0.4818,1.8755,28.0302
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,66.0,28.3524,0.5161,1.8298,25.8241
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.9,42,93.0,31.0634,0.5534,1.7841,27.9875
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.01,None,2025,16.0,35.4956,0.3909,2.1508,28.6238
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,123,28.0,31.9542,0.5589,1.963,27.9004
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,46.0,30.9719,0.5363,2.0136,26.6617
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.3,2025,72.0,30.645,0.5664,1.9839,24.0088
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.01,None,42,8.0,33.2018,0.4262,1.8844,29.8212
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,123,105.0,28.914,0.5317,1.9714,24.0899
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,42,52.0,29.3953,0.549,1.7672,26.6177
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.01,None,2025,20.0,35.8086,0.3633,2.1518,28.7605
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,5.0,2025,3.0,35.4625,0.3533,2.1489,28.5591
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,2025,37.0,32.8769,0.571,1.9214,26.3671
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.7,2025,46.0,33.5168,0.5414,2.1035,26.7416
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,96.0,32.0989,0.4927,2.1393,25.1781
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,7.0,42,67.0,28.4603,0.5015,1.7692,25.4397
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.5,2025,75.0,32.8706,0.5512,2.1063,26.1109
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,10.0,123,97.0,28.9088,0.5403,1.9666,24.21
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,123,38.0,31.8547,0.5659,1.9743,27.6536
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.01,None,2025,9.0,35.2989,0.4255,2.1445,28.5283
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.1,2025,74.0,32.666,0.5189,2.1159,25.7095
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,123,38.0,29.8344,0.5921,1.9018,25.4927
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,35.0,32.1689,0.5355,2.0224,25.2661
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.01,None,123,17.0,32.8883,0.502,2.0502,28.3437
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,10.0,2025,43.0,35.3295,0.3877,2.149,28.492
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,123,110.0,28.8743,0.5584,1.9799,24.0968
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.0001,1.5,42,66.0,31.0928,0.5313,1.8667,27.9418
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.01,None,42,12.0,35.1052,0.3063,1.9105,31.2007
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,15.0,42,8.0,34.0664,0.3012,1.9064,30.2645
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,75.0,32.774,0.5686,1.8053,26.2889
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.5,42,5.0,33.3968,0.4067,1.8972,29.9585
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.01,None,123,2.0,33.4305,0.3421,2.0631,28.8042
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.0001,7.0,123,44.0,31.378,0.4868,2.035,26.9046
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,123,79.0,31.0405,0.4924,2.0315,26.2897
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,42,59.0,28.2018,0.496,1.8541,25.3135
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,84.0,27.9172,0.4878,1.8482,25.0565
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.0001,0.3,123,94.0,30.4165,0.5596,1.9515,26.0176
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,2025,108.0,30.9355,0.5283,2.0106,24.3402
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.0001,None,2025,84.0,32.6459,0.5124,2.1252,25.5961
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,42,35.0,28.7479,0.5022,1.8501,26.1237
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.01,1.0,123,10.0,32.9147,0.4469,2.0479,28.3298
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,75.0,31.387,0.5169,2.0441,24.4319
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,3.0,2025,9.0,35.3072,0.3767,2.1438,28.2502
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.5,2025,35.0,33.8844,0.5406,2.1042,27.1344
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.01,2.0,2025,24.0,34.9422,0.4818,2.1343,28.3423
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.01,0.1,2025,15.0,35.4767,0.3586,2.1439,28.463
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.01,None,42,3.0,34.0701,0.2889,1.8945,30.265
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,63.0,32.8409,0.5498,2.0443,26.1863
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.01,1.0,42,3.0,33.7386,0.3452,1.8994,30.0443
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,42,49.0,30.8653,0.5663,1.6974,27.9576
