Model,MTL,Tasks,Learning Rate,MTL HPO,NEXT_ACTIVITY_mean,NEXT_ACTIVITY_std,NEXT_TIME_mean,NEXT_TIME_std,REMAINING_TIME_mean,REMAINING_TIME_std,Best Epoch_mean
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,0.5208333333333334,0.009152231057689333,1.9714333333333334,0.10949270904189617,27.037966666666666,1.283269731324375,74.33333333333333
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,0.5498666666666666,0.011954218223427822,1.9398,0.12373976725370055,27.67086666666667,0.7949958008274854,86.0
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.49043333333333333,0.0014011899704655915,2.0333666666666663,0.12195844920846326,27.467299999999998,1.697385404084764,55.666666666666664
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,0.507,0.01599124760611254,2.0033333333333334,0.11879163831403855,26.881766666666664,1.267496928332898,82.66666666666667
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.5074,0.0039051248379533055,2.0453333333333332,0.13284435755173546,28.555400000000002,0.5840221827978798,27.666666666666668
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.5115333333333333,0.007487545214109406,2.0352333333333337,0.13826331159542415,28.744600000000002,0.6050124957387258,20.666666666666668
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.4936,0.04036991454040994,2.040566666666667,0.1778974517336698,28.7587,0.9896940891002636,52.666666666666664
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.5495333333333333,0.014788621752324685,2.0317333333333334,0.1458605612677166,28.6056,0.6282972783643102,35.666666666666664
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.5557666666666666,0.00956887314856525,1.9409,0.12966260062176765,28.6854,0.7691367628712079,30.0
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.5478999999999999,0.013673697378543962,2.0101,0.142801715675968,29.06056666666667,0.5668064602078339,23.0
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.4900333333333333,0.01755686000779562,2.042666666666667,0.12744101903756627,28.031166666666667,1.1799741875707872,46.666666666666664
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.5514666666666667,0.006871923554095579,2.0126666666666666,0.13230345170604343,29.208433333333335,0.7679508599730399,18.333333333333332
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.5226000000000001,0.006581793068761754,1.9986333333333333,0.14885678799884586,27.758333333333336,1.4353580122510674,58.0
CNN,EW,"('next_time',)",0.001,None,,,1.9613000000000003,0.1397626917313774,,,36.666666666666664
CNN,EW,"('next_activity',)",0.001,None,0.4287666666666667,0.008000208330620715,,,,,38.0
CNN,EW,"('remaining_time',)",0.001,None,,,,,26.58196666666667,1.1224258297693155,67.0
