Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,2025,35,34.3094,0.5347,2.1043,27.5607
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,2025,114,32.8234,0.5118,2.0643,25.574
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,123,54,32.6172,0.5582,1.9987,28.5619
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,0.5,2025,33,35.1152,0.5318,2.1244,28.5645
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,42,31.4406,0.4905,2.0615,27.2002
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,5.0,42,8,33.811,0.5094,1.9197,30.3414
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,42,90,31.0382,0.5029,1.8346,27.8321
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,16,35.4078,0.5174,2.1494,28.7042
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.7,2025,47,33.9728,0.5489,2.0677,27.3273
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.9,42,16,33.545,0.5225,1.9146,30.2447
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,42,79,31.692,0.5404,1.7999,28.4949
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,1,33.7066,0.4487,2.0836,29.4502
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,123,97,30.8662,0.5006,2.0158,26.342
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,2025,55,33.5029,0.5008,2.156,26.5494
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,8,33.3785,0.5099,2.0675,29.1485
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,41,32.6723,0.5658,2.0551,28.5967
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,20.0,2025,141,32.2568,0.4945,2.0997,24.902
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,3.0,42,55,31.5485,0.5252,1.8788,28.3298
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,1.0,2025,46,34.8942,0.5404,2.112,28.0828
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,26,32.8362,0.559,1.8051,29.5514
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,123,50,31.6733,0.5301,1.9993,27.5715
